tweet_id,author_id,created_at,lang,text
1537292872269316097,48890883,2022-06-16 04:35:56+00:00,in,"Lukisan wajah Emmeril Kahn Mumtadz atau Eril yang tampak pada prosesi pemakaman cukup mencuri atensi publik.

https://t.co/DpPwlw7bFz"
1537272960180170752,1537267911228006400,2022-06-16 03:16:49+00:00,in,"""Siapa ingin menjadi bunga indah di surga diiringi berjuta do'a maka taburkanlah berjuta benih kebaikan selama di dunia""

Emmeril Kahn Mumtadz 
New York 1999 - Bem 2022"
1537265421921177601,174601238,2022-06-16 02:46:52+00:00,in,"Ridwan Kamil hadiahkan Masjid untuk Emmeril. Selengkapnya di #HALOSELEBRITI https://t.co/KeowRXB1ZW.

#SCTVInfotainment https://t.co/3myt12p4BV"
1537262050896117760,191384973,2022-06-16 02:33:28+00:00,in,"Seperti apa kesaksian orang - orang yang pernah ditolong oleh Almarhum Emmeril Kahn Mumtadz semasa hidupnya?

#SiletRCTI pukul 10.00 WIB https://t.co/ACOFRWP51H"
1537260381495627776,227607482,2022-06-16 02:26:50+00:00,in,"Atalia Praratya membagikan momen haru saat sang putri, Camillia Laetitia Azzahra atau Zara melukis wajah mendiang sang kakak yang tersenyum, Emmeril Kahn Mumtadz atau akrab disapa Eril.

#VRadio #Viral #Update #Trending #Info #Eril #Zara https://t.co/bWAft3JNrj"
1537258349711872000,381979676,2022-06-16 02:18:46+00:00,in,"Camillia Laetitia Azzahra atau yang kerap disapa Zara ternyata mempersembahkan hadiah terakhirnya untuk sang kakak, Emmeril Kahn Mumtadz atau yang kerap dikenal Eril dengan melukis wajah Eril tersenyum.

#RDI #ObrolanEkseizz #RidwanKamil #Camillia #EmmerilKahn #Lukisan https://t.co/5fEPetyzzm"
1537246009775927296,4710846704,2022-06-16 01:29:44+00:00,in,"""Siapa ingin menjadi bunga indah di surga diiringi berjuta doa, 
maka taburlah berjuta benih kebaikan selama di dunia"". 
-Emmeril Kahn Mumtadz-🌹

Masya Allah.. Tabarakallah..🤍"
1537228219958837249,79130206,2022-06-16 00:19:02+00:00,in,"Gubernur Jawa Barat Ridwan Kamil mengungkap salah satu kebaikan hati anaknya, Emmeril Kahn Mumtadz alias Eril semasa hidup. #RidwanKamil https://t.co/Ukc5Pot2sI"
1537146259232165888,1435037116421984266,2022-06-15 18:53:21+00:00,in,"TASIKMALAYA, https://t.co/TAo8Dcb7Tx – Gubernur Jawa Barat (Jabar) Ridwan Kamil, membagikan sebuah kisah perjalanannya dengan putra sulungnya Emmeril Kahn Mumtadz atau Eril.#emmerilkhanmumtadz #eril #Viral 
https://t.co/KWRq6ivdvo https://t.co/4SztOjGy3v"
1537146220883607552,1435037116421984266,2022-06-15 18:53:12+00:00,in,"TASIKMALAYA, https://t.co/TAo8Dcb7Tx – Gubernur Jawa Barat (Jabar) Ridwan Kamil, membagikan sebuah kisah perjalanannya dengan putra sulungnya Emmeril Kahn Mumtadz atau Eril.#eril #emmerilkhanmumtadz #Viral https://t.co/GpLJnovjSY"
1537134521207861248,553519409,2022-06-15 18:06:43+00:00,in,"Tentang Eril, dari Sudut Pandang Teman dari Sahabatnya, Murid dari Ayahnya. 

(utas singkat atas perjalanan singkat takziah Emmeril Kahn Mumtadz serta kekagumanku terhadap keluarga Yth. Bapak @ridwankamil )"
1537129086157733888,1435037116421984266,2022-06-15 17:45:07+00:00,in,"JAKARTA, https://t.co/xKUFeTe34s - Jenazah Emmeril Kahn Mumtadz putra sulung Gubernur Jawa Barat Ridwan Kamil tiba di Bandara Soekarno-Hatta, Tangerang, Banten, Minggu (12/6/2022).#eril #emmerilkhanmumtadz #Viral 
https://t.co/liQXzIBrtV https://t.co/EzN13t77aY"
